#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0 -175.0   87.5   6.45  0.221633
2017 219  0.0 -170.0   87.5   6.44  0.221109
2017 219  0.0 -165.0   87.5   6.42  0.220561
2017 219  0.0 -160.0   87.5   6.41  0.219992
2017 219  0.0 -155.0   87.5   6.39  0.219405
2017 219  0.0 -150.0   87.5   6.38  0.218804
2017 219  0.0 -145.0   87.5   6.36  0.218192
2017 219  0.0 -140.0   87.5   6.35  0.217574
2017 219  0.0 -135.0   87.5   6.33  0.216955
2017 219  0.0 -130.0   87.5   6.31  0.216337
2017 219  0.0 -125.0   87.5   6.30  0.215724
2017 219  0.0 -120.0   87.5   6.28  0.215122
2017 219  0.0 -115.0   87.5   6.26  0.214533
2017 219  0.0 -110.0   87.5   6.24  0.213964
2017 219  0.0 -105.0   87.5   6.23  0.213418
2017 219  0.0 -100.0   87.5   6.21  0.212899
2017 219  0.0  -95.0   87.5   6.19  0.212412
2017 219  0.0  -90.0   87.5   6.18  0.211962
2017 219  0.0  -85.0   87.5   6.17  0.211553
2017 219  0.0  -80.0   87.5   6.15  0.211188
2017 219  0.0  -75.0   87.5   6.14  0.210873
2017 219  0.0  -70.0   87.5   6.13  0.210609
2017 219  0.0  -65.0   87.5   6.12  0.210402
2017 219  0.0  -60.0   87.5   6.11  0.210252
2017 219  0.0  -55.0   87.5   6.11  0.210162
2017 219  0.0  -50.0   87.5   6.10  0.210136
2017 219  0.0  -45.0   87.5   6.10  0.210173
2017 219  0.0  -40.0   87.5   6.10  0.210274
2017 219  0.0  -35.0   87.5   6.10  0.210438
2017 219  0.0  -30.0   87.5   6.10  0.210667
2017 219  0.0  -25.0   87.5   6.11  0.210958
2017 219  0.0  -20.0   87.5   6.11  0.211309
2017 219  0.0  -15.0   87.5   6.12  0.211717
2017 219  0.0  -10.0   87.5   6.13  0.212180
2017 219  0.0   -5.0   87.5   6.14  0.212693
2017 219  0.0    0.0   87.5   6.15  0.213251
2017 219  0.0    5.0   87.5   6.17  0.213851
2017 219  0.0   10.0   87.5   6.18  0.214486
2017 219  0.0   15.0   87.5   6.20  0.215150
2017 219  0.0   20.0   87.5   6.22  0.215837
2017 219  0.0   25.0   87.5   6.23  0.216540
2017 219  0.0   30.0   87.5   6.25  0.217254
2017 219  0.0   35.0   87.5   6.27  0.217971
2017 219  0.0   40.0   87.5   6.29  0.218684
2017 219  0.0   45.0   87.5   6.31  0.219385
2017 219  0.0   50.0   87.5   6.33  0.220071
2017 219  0.0   55.0   87.5   6.35  0.220734
2017 219  0.0   60.0   87.5   6.36  0.221368
2017 219  0.0   65.0   87.5   6.38  0.221968
2017 219  0.0   70.0   87.5   6.40  0.222528
2017 219  0.0   75.0   87.5   6.41  0.223045
2017 219  0.0   80.0   87.5   6.43  0.223515
2017 219  0.0   85.0   87.5   6.44  0.223936
2017 219  0.0   90.0   87.5   6.46  0.224303
2017 219  0.0   95.0   87.5   6.47  0.224616
2017 219  0.0  100.0   87.5   6.48  0.224874
2017 219  0.0  105.0   87.5   6.49  0.225075
2017 219  0.0  110.0   87.5   6.49  0.225220
2017 219  0.0  115.0   87.5   6.50  0.225308
2017 219  0.0  120.0   87.5   6.50  0.225342
2017 219  0.0  125.0   87.5   6.51  0.225322
2017 219  0.0  130.0   87.5   6.51  0.225250
2017 219  0.0  135.0   87.5   6.51  0.225127
2017 219  0.0  140.0   87.5   6.51  0.224956
2017 219  0.0  145.0   87.5   6.51  0.224739
2017 219  0.0  150.0   87.5   6.50  0.224477
2017 219  0.0  155.0   87.5   6.50  0.224175
2017 219  0.0  160.0   87.5   6.49  0.223835
2017 219  0.0  165.0   87.5   6.49  0.223458
2017 219  0.0  170.0   87.5   6.48  0.223046
2017 219  0.0  175.0   87.5   6.47  0.222604
2017 219  0.0  180.0   87.5   6.46  0.222133
2017 219  0.0 -175.0   85.0   6.32  0.215663
2017 219  0.0 -170.0   85.0   6.31  0.215141
2017 219  0.0 -165.0   85.0   6.30  0.214563
2017 219  0.0 -160.0   85.0   6.28  0.213929
2017 219  0.0 -155.0   85.0   6.27  0.213238
2017 219  0.0 -150.0   85.0   6.25  0.212491
2017 219  0.0 -145.0   85.0   6.23  0.211688
2017 219  0.0 -140.0   85.0   6.21  0.210831
2017 219  0.0 -135.0   85.0   6.18  0.209921
2017 219  0.0 -130.0   85.0   6.15  0.208960
2017 219  0.0 -125.0   85.0   6.12  0.207949
2017 219  0.0 -120.0   85.0   6.09  0.206893
2017 219  0.0 -115.0   85.0   6.06  0.205804
2017 219  0.0 -110.0   85.0   6.03  0.204693
2017 219  0.0 -105.0   85.0   5.99  0.203572
2017 219  0.0 -100.0   85.0   5.96  0.202454
2017 219  0.0  -95.0   85.0   5.92  0.201348
2017 219  0.0  -90.0   85.0   5.89  0.200267
2017 219  0.0  -85.0   85.0   5.85  0.199219
2017 219  0.0  -80.0   85.0   5.82  0.198215
2017 219  0.0  -75.0   85.0   5.79  0.197266
2017 219  0.0  -70.0   85.0   5.76  0.196381
2017 219  0.0  -65.0   85.0   5.73  0.195570
2017 219  0.0  -60.0   85.0   5.70  0.194842
2017 219  0.0  -55.0   85.0   5.68  0.194205
2017 219  0.0  -50.0   85.0   5.65  0.193668
2017 219  0.0  -45.0   85.0   5.64  0.193234
2017 219  0.0  -40.0   85.0   5.62  0.192913
2017 219  0.0  -35.0   85.0   5.61  0.192706
2017 219  0.0  -30.0   85.0   5.60  0.192618
2017 219  0.0  -25.0   85.0   5.59  0.192652
2017 219  0.0  -20.0   85.0   5.59  0.192809
2017 219  0.0  -15.0   85.0   5.59  0.193088
2017 219  0.0  -10.0   85.0   5.60  0.193487
2017 219  0.0   -5.0   85.0   5.61  0.194001
2017 219  0.0    0.0   85.0   5.62  0.194630
2017 219  0.0    5.0   85.0   5.64  0.195364
2017 219  0.0   10.0   85.0   5.66  0.196198
2017 219  0.0   15.0   85.0   5.68  0.197122
2017 219  0.0   20.0   85.0   5.71  0.198127
2017 219  0.0   25.0   85.0   5.73  0.199202
2017 219  0.0   30.0   85.0   5.76  0.200336
2017 219  0.0   35.0   85.0   5.79  0.201515
2017 219  0.0   40.0   85.0   5.83  0.202728
2017 219  0.0   45.0   85.0   5.86  0.203962
2017 219  0.0   50.0   85.0   5.89  0.205203
2017 219  0.0   55.0   85.0   5.93  0.206438
2017 219  0.0   60.0   85.0   5.96  0.207655
2017 219  0.0   65.0   85.0   6.00  0.208842
