vTEC err_vTEC 
38.820617 -6820961.179383 
42.910723 -6820957.089277 
40.394299 -6820959.605701 
26.523516 -6820973.476484 
37.704098 -6820962.295902 
46.937566 -6820953.062434 
46.620430 -6820953.379570 
43.165795 -6820956.834205 
31.774581 -6820968.225419 
35.737926 -6820964.262074 
42.887062 -6820957.112938 
50.305582 -6820949.694418 
50.728923 -6820949.271077 
48.969732 -6820951.030268 
29.238838 -6820970.761162 
33.696335 -6820966.303665 
40.902956 -6820959.097044 
47.070302 -6820952.929698 
52.825631 -6820947.174369 
53.645424 -6820946.354576 
52.797551 -6820947.202449 
50.912400 -6820949.087600 
26.796843 -6820973.203157 
27.439843 -6820972.560157 
31.792363 -6820968.207637 
38.470294 -6820961.529706 
45.130107 -6820954.869893 
50.060328 -6820949.939672 
54.742862 -6820945.257138 
56.003303 -6820943.996697 
55.976229 -6820944.023771 
54.730357 -6820945.269643 
52.929380 -6820947.070620 
24.848526 -6820975.151474 
25.965065 -6820974.034935 
30.024134 -6820969.975866 
36.026191 -6820963.973809 
42.463861 -6820957.536139 
48.043880 -6820951.956120 
52.145016 -6820947.854984 
57.218791 -6820942.781209 
59.353147 -6820940.646853 
60.479771 -6820939.520229 
60.161430 -6820939.838570 
58.193360 -6820941.806640 
23.432437 -6820976.567563 
24.770211 -6820975.229789 
28.490161 -6820971.509839 
33.842321 -6820966.157679 
39.825561 -6820960.174439 
45.528596 -6820954.471404 
50.389825 -6820949.610175 
54.255101 -6820945.744899 
63.076413 -6820936.923587 
66.672966 -6820933.327034 
69.436852 -6820930.563148 
70.643962 -6820929.356038 
69.407196 -6820930.592804 
65.456325 -6820934.543675 
22.855628 -6820977.144372 
24.925218 -6820975.074782 
28.698236 -6820971.301764 
33.631336 -6820966.368664 
39.123806 -6820960.876194 
44.650267 -6820955.349733 
49.868078 -6820950.131922 
54.652483 -6820945.347517 
59.037221 -6820940.962779 
75.839482 -6820924.160518 
81.326812 -6820918.673188 
85.704809 -6820914.295191 
88.073132 -6820911.926868 
87.301209 -6820912.698791 
82.365553 -6820917.634447 
22.951863 -6820977.048137 
24.890093 -6820975.109907 
28.463460 -6820971.536540 
33.287424 -6820966.712576 
38.938472 -6820961.061528 
45.026652 -6820954.973348 
51.265641 -6820948.734359 
57.505849 -6820942.494151 
63.707942 -6820936.292058 
69.856863 -6820930.143137 
94.884658 -6820905.115342 
100.940356 -6820899.059644 
105.610035 -6820894.389965 
108.303735 -6820891.696265 
108.341972 -6820891.658028 
104.817026 -6820895.182974 
25.433197 -6820974.566803 
28.158747 -6820971.841253 
32.285884 -6820967.714116 
37.589222 -6820962.410778 
43.799094 -6820956.200906 
50.644168 -6820949.355832 
57.895135 -6820942.104865 
65.381771 -6820934.618229 
72.978428 -6820927.021572 
80.562246 -6820919.437754 
87.957257 -6820912.042743 
111.803072 -6820888.196928 
116.590616 -6820883.409384 
120.060240 -6820879.939760 
122.071127 -6820877.928873 
122.521759 -6820877.478241 
121.170342 -6820878.829658 
30.649812 -6820969.350188 
34.175248 -6820965.824752 
38.949525 -6820961.050475 
44.889628 -6820955.110372 
51.781473 -6820948.218527 
59.359424 -6820940.640576 
67.361014 -6820932.638986 
75.546925 -6820924.453075 
83.700546 -6820916.299454 
91.616742 -6820908.383258 
99.087678 -6820900.912322 
105.893354 -6820894.106646 
117.794830 -6820882.205170 
120.918457 -6820879.081543 
123.165002 -6820876.834998 
124.612089 -6820875.387911 
125.402401 -6820874.597599 
125.712508 -6820874.287492 
125.426990 -6820874.573010 
41.137025 -6820958.862975 
45.788594 -6820954.211406 
51.647114 -6820948.352886 
58.490695 -6820941.509305 
65.996293 -6820934.003707 
73.834139 -6820926.165861 
81.701336 -6820918.298664 
89.333659 -6820910.666341 
96.510073 -6820903.489927 
103.054329 -6820896.945671 
108.834991 -6820891.165009 
113.764133 -6820886.235867 
114.785683 -6820885.214317 
117.689449 -6820882.310551 
119.908061 -6820880.091939 
121.522347 -6820878.477653 
122.731348 -6820877.268652 
123.920472 -6820876.079528 
47.768315 -6820952.231685 
52.369471 -6820947.630529 
58.517701 -6820941.482299 
65.721523 -6820934.278477 
73.436853 -6820926.563147 
81.190090 -6820918.809910 
88.608402 -6820911.391598 
95.427648 -6820904.572352 
101.489792 -6820898.510208 
106.729240 -6820893.270760 
111.148235 -6820888.851765 
110.602998 -6820889.397002 
114.099642 -6820885.900358 
116.808036 -6820883.191964 
118.835212 -6820881.164788 
120.441384 -6820879.558616 
49.896036 -6820950.103964 
53.133748 -6820946.866252 
58.699679 -6820941.300321 
65.774149 -6820934.225851 
73.510957 -6820926.489043 
81.265133 -6820918.734867 
88.604841 -6820911.395159 
95.282923 -6820904.717077 
101.190569 -6820898.809431 
106.298598 -6820893.701402 
106.045891 -6820893.954109 
109.820755 -6820890.179245 
113.126864 -6820886.873136 
116.247336 -6820883.752664 
53.563802 -6820946.436198 
58.685678 -6820941.314322 
65.838354 -6820934.161646 
73.835887 -6820926.164113 
81.825848 -6820918.174152 
89.266561 -6820910.733439 
95.852037 -6820904.147963 
101.444912 -6820898.555088 
97.409576 -6820902.590424 
101.904066 -6820898.095934 
107.463255 -6820892.536745 
55.372912 -6820944.627088 
59.897393 -6820940.102607 
66.659829 -6820933.340171 
74.204319 -6820925.795681 
81.440695 -6820918.559305 
87.748721 -6820912.251279 
92.967324 -6820907.032676 
86.318398 -6820913.681602 
93.325997 -6820906.674003 
61.263925 -6820938.736075 
66.044903 -6820933.955097 
71.508139 -6820928.491861 
76.657596 -6820923.342404 
81.320931 -6820918.679069 
78.279208 -6820921.720792 
64.295388 -6820935.704612 
67.412866 -6820932.587134 
71.698145 -6820928.301855 
56.489901 -6820943.510099 
58.817438 -6820941.182562 
54.080270 -6820945.919730 
58.177111 -6820941.822889 
61.074039 -6820938.925961 
64.811030 -6820935.188970 
49.926424 -6820950.073576 
52.202708 -6820947.797292 
55.256562 -6820944.743438 
62.387429 -6820937.612571 
66.637050 -6820933.362950 
71.475475 -6820928.524525 
77.604713 -6820922.395287 
49.318477 -6820950.681523 
51.131477 -6820948.868523 
54.574626 -6820945.425374 
58.416739 -6820941.583261 
71.698599 -6820928.301401 
77.577578 -6820922.422422 
83.672637 -6820916.327363 
89.800833 -6820910.199167 
96.122362 -6820903.877638 
103.429170 -6820896.570830 
51.315792 -6820948.684208 
52.889995 -6820947.110005 
56.546490 -6820943.453510 
61.119212 -6820938.880788 
66.195954 -6820933.804046 
87.683680 -6820912.316320 
94.947392 -6820905.052608 
101.696984 -6820898.303016 
107.389097 -6820892.610903 
111.716205 -6820888.283795 
114.959740 -6820885.040260 
117.975863 -6820882.024137 
57.273989 -6820942.726011 
57.947419 -6820942.052581 
61.727175 -6820938.272825 
67.145915 -6820932.854085 
73.482305 -6820926.517695 
80.410835 -6820919.589165 
106.195440 -6820893.804560 
112.588729 -6820887.411271 
117.735244 -6820882.264756 
121.228336 -6820878.771664 
122.863690 -6820877.136310 
122.791972 -6820877.208028 
121.659294 -6820878.340706 
120.541259 -6820879.458741 
65.730067 -6820934.269933 
66.889729 -6820933.110271 
71.140268 -6820928.859732 
77.160564 -6820922.839436 
84.125633 -6820915.874367 
91.542296 -6820908.457704 
99.030097 -6820900.969903 
117.695352 -6820882.304648 
121.690741 -6820878.309259 
124.351410 -6820875.648590 
125.578648 -6820874.421352 
125.387528 -6820874.612472 
123.942596 -6820876.057404 
121.617936 -6820878.382064 
119.088391 -6820880.911609 
117.301063 -6820882.698937 
72.293344 -6820927.706656 
74.713059 -6820925.286941 
79.612464 -6820920.387536 
85.911943 -6820914.088057 
92.820728 -6820907.179272 
99.810462 -6820900.189538 
106.493336 -6820893.506664 
112.548875 -6820887.451125 
117.893003 -6820882.106997 
120.345716 -6820879.654284 
121.936803 -6820878.063197 
122.676246 -6820877.323754 
122.577661 -6820877.422339 
121.674886 -6820878.325114 
120.066745 -6820879.933255 
117.994601 -6820882.005399 
115.929499 -6820884.070501 
114.516121 -6820885.483879 
72.793157 -6820927.206843 
76.140179 -6820923.859821 
81.284697 -6820918.715303 
87.355163 -6820912.644837 
93.681080 -6820906.318920 
99.811808 -6820900.188192 
105.451163 -6820894.548837 
110.409640 -6820889.590360 
114.575305 -6820885.424695 
113.505503 -6820886.494497 
116.301457 -6820883.698543 
118.318488 -6820881.681512 
119.440889 -6820880.559111 
119.533098 -6820880.466902 
118.505728 -6820881.494272 
116.405625 -6820883.594375 
113.514910 -6820886.485090 
110.414783 -6820889.585217 
67.996312 -6820932.003688 
71.230020 -6820928.769980 
76.486066 -6820923.513934 
82.722375 -6820917.277625 
89.151161 -6820910.848839 
95.288763 -6820904.711237 
100.871784 -6820899.128216 
105.783670 -6820894.216330 
109.994442 -6820890.005558 
109.241354 -6820890.758646 
111.952651 -6820888.047349 
113.262554 -6820886.737446 
112.963492 -6820887.036508 
110.963229 -6820889.036771 
107.381693 -6820892.618307 
102.623778 -6820897.376222 
97.417414 -6820902.582586 
92.728473 -6820907.271527 
64.358379 -6820935.641621 
68.498348 -6820931.501652 
74.619352 -6820925.380648 
81.505878 -6820918.494122 
88.371525 -6820911.628475 
94.777043 -6820905.222957 
100.487437 -6820899.512563 
105.356735 -6820894.643265 
98.863126 -6820901.136874 
99.307598 -6820900.692402 
97.769289 -6820902.230711 
94.359924 -6820905.640076 
89.422429 -6820910.577571 
83.534936 -6820916.465064 
77.497577 -6820922.502423 
72.302424 -6820927.697576 
61.033481 -6820938.966519 
66.260674 -6820933.739326 
73.131284 -6820926.868716 
80.302499 -6820919.697501 
86.915797 -6820913.084203 
92.437625 -6820907.562375 
96.509237 -6820903.490763 
78.876346 -6820921.123654 
77.057837 -6820922.942163 
73.630397 -6820926.369603 
69.090320 -6820930.909680 
64.012192 -6820935.987808 
59.031988 -6820940.968012 
54.916580 -6820945.083420 
54.127627 -6820945.872373 
59.892656 -6820940.107344 
66.409371 -6820933.590629 
72.228545 -6820927.771455 
76.481023 -6820923.518977 
78.733309 -6820921.266691 
57.297314 -6820942.702686 
55.570022 -6820944.429978 
53.004848 -6820946.995152 
50.017178 -6820949.982822 
46.950449 -6820953.049551 
44.285547 -6820955.714453 
39.715557 -6820960.284443 
43.053514 -6820956.946486 
48.108036 -6820951.891964 
52.931355 -6820947.068645 
56.269896 -6820943.730104 
57.679521 -6820942.320479 
42.208306 -6820957.791694 
42.039127 -6820957.960873 
41.268271 -6820958.731729 
39.988122 -6820960.011878 
38.449358 -6820961.550642 
37.401094 -6820962.598906 
29.559582 -6820970.440418 
32.357392 -6820967.642608 
36.276093 -6820963.723907 
39.569388 -6820960.430612 
41.513401 -6820958.486599 
33.741351 -6820966.258649 
34.844168 -6820965.155832 
35.058385 -6820964.941615 
34.412990 -6820965.587010 
33.636587 -6820966.363413 
23.222391 -6820976.777609 
25.653314 -6820974.346686 
28.996180 -6820971.003820 
31.811082 -6820968.188918 
28.519173 -6820971.480827 
30.082682 -6820969.917318 
30.532036 -6820969.467964 
30.169396 -6820969.830604 
20.496064 -6820979.503936 
23.058777 -6820976.941223 
26.062197 -6820973.937803 
24.433470 -6820975.566530 
26.146479 -6820973.853521 
26.407065 -6820973.592935 
18.866185 -6820981.133815 
21.493534 -6820978.506466 
21.157588 -6820978.842412 
22.736855 -6820977.263145 
18.493097 -6820981.506903 
19.273958 -6820980.726042 
124.163997 -6820875.836003 
125.330392 -6820874.669608 
125.319528 -6820874.680472 
