vTEC sTEC IonoDelay  
38.820549 90.742987 14.734161 
42.910648 85.988914 13.962230 
40.394229 101.954762 16.554644 
26.523470 70.384668 11.428531 
37.704032 81.642358 13.256470 
46.937485 81.011630 13.154057 
46.620349 100.720605 16.354251 
43.165720 116.161296 18.861394 
31.774526 82.381940 13.376557 
35.737864 72.314876 11.741943 
42.886988 71.950746 11.682819 
50.305494 76.201300 12.372992 
50.728834 93.942420 15.253661 
48.969647 118.008812 19.161380 
29.238787 72.672485 11.800009 
33.696277 64.589192 10.487505 
40.902885 63.194063 10.260975 
47.070220 66.811501 10.848347 
52.825539 71.914564 11.676944 
53.645331 87.442913 14.198320 
52.797459 110.867118 18.001765 
50.912311 134.528152 21.843665 
26.796797 74.665757 12.123662 
27.439795 65.687972 10.665917 
31.792307 58.668785 9.526194 
38.470227 56.761587 9.216518 
45.130029 58.325378 9.470434 
50.060241 62.944274 10.220416 
54.742767 68.675317 11.150979 
56.003205 82.703648 13.428794 
55.976131 104.054929 16.895653 
54.730261 130.947665 21.262293 
52.929288 147.297244 23.917014 
24.848482 68.668465 11.149867 
25.965020 60.539830 9.830000 
30.024082 54.280562 8.813668 
36.026128 52.064428 8.453829 
42.463787 52.567434 8.535503 
48.043796 55.104718 8.947488 
52.144925 60.076605 9.754785 
57.218691 67.834095 11.014388 
59.353044 81.683284 13.263115 
60.479666 102.371414 16.622297 
60.161325 129.951963 21.100618 
58.193259 154.569864 25.097887 
23.432397 64.252175 10.432783 
24.770168 57.040946 9.261878 
28.490111 51.377454 8.342283 
33.842262 48.967824 7.951025 
39.825491 48.841733 7.930552 
45.528517 50.337730 8.173460 
50.389738 53.508088 8.688239 
54.255007 58.972682 9.575539 
63.076303 72.458362 11.765242 
66.672850 87.385244 14.188956 
69.436731 108.718594 17.652904 
70.643839 137.167195 22.272173 
69.407075 167.739672 27.236301 
65.456210 181.406601 29.455434 
22.855588 60.097800 9.758227 
24.925174 54.064611 8.778603 
28.698186 49.755899 8.078987 
33.631277 47.829005 7.766113 
39.123737 47.660785 7.738798 
44.650190 48.841988 7.930593 
49.867991 51.382984 8.343181 
54.652388 55.653321 9.036566 
59.037118 62.339624 10.122237 
75.839350 86.546650 14.052791 
81.326671 105.409081 17.115530 
85.704660 131.540100 21.358488 
88.072979 165.896115 26.936958 
87.301057 203.977552 33.120334 
82.365409 224.904157 36.518238 
22.951823 62.803842 10.197614 
24.890050 58.431333 9.487638 
28.463411 53.889038 8.750095 
33.287366 51.317541 8.332555 
38.938404 50.645994 8.223514 
45.026573 51.512504 8.364211 
51.265552 53.832869 8.740975 
57.505749 57.838539 9.391385 
63.707831 64.044424 10.399050 
69.856741 73.244932 11.892959 
94.884492 110.277547 17.906035 
100.940180 132.048380 21.441019 
105.609851 161.128132 26.162769 
108.303547 198.875383 32.291883 
108.341783 243.008466 39.457879 
104.816843 277.655224 45.083558 
25.433153 70.051307 11.374402 
28.158698 68.082265 11.054684 
32.285828 64.243182 10.431323 
37.589157 61.575281 9.998129 
43.799018 60.692742 9.854829 
50.644080 61.456405 9.978827 
57.895034 63.777208 10.355661 
65.381657 67.774933 11.004782 
72.978301 73.779355 11.979734 
80.562106 82.321748 13.366784 
87.957104 94.150345 15.287422 
111.802877 135.677304 22.030256 
116.590413 157.948073 25.646415 
120.060031 187.137331 30.385946 
122.070914 224.871936 36.513007 
122.521545 270.534978 43.927426 
121.170130 313.965368 50.979325 
30.649758 85.161958 13.827956 
34.175188 85.890981 13.946329 
38.949457 82.641095 13.418637 
44.889550 79.549516 12.916650 
51.781383 78.056839 12.674280 
59.359321 78.280308 12.710565 
67.360897 80.114822 13.008440 
75.546793 83.556283 13.567238 
83.700401 88.753764 14.411166 
91.616583 96.007601 15.588989 
99.087506 105.774696 17.174896 
105.893170 118.699296 19.273495 
117.794625 153.046349 24.850510 
120.918246 174.016722 28.255521 
123.164788 201.390872 32.700329 
124.611872 236.658636 38.426842 
125.402183 279.659637 45.409020 
125.712289 323.716605 52.562657 
125.426772 349.594047 56.764441 
41.136954 107.864976 17.514300 
45.788515 104.674051 16.996182 
51.647024 100.570035 16.329803 
58.490592 97.791799 15.878694 
65.996178 96.744907 15.708707 
73.834011 97.316851 15.801575 
81.701193 99.389244 16.138075 
89.333504 102.961241 16.718069 
96.509905 108.164449 17.562926 
103.054150 115.263787 18.715663 
108.834802 124.671776 20.243261 
113.763935 136.985189 22.242620 
114.785483 163.732592 26.585662 
117.689244 187.326743 30.416702 
119.907852 218.748264 35.518691 
121.522135 258.953741 42.046953 
122.731134 304.561103 49.452332 
123.920256 341.157525 55.394582 
47.768232 125.642953 20.400954 
52.369379 120.155436 19.509932 
58.517599 114.640486 18.614456 
65.721408 111.169331 18.050836 
73.436725 109.882088 17.841824 
81.189949 110.542703 17.949089 
88.608247 113.030480 18.353036 
95.427482 117.431205 19.067592 
101.489615 124.042961 20.141159 
106.729055 133.387325 21.658426 
111.148042 146.247615 23.746583 
110.602805 177.523685 28.824955 
114.099443 206.817379 33.581444 
116.807832 245.670522 39.890124 
118.835005 291.743186 47.371055 
120.441175 330.674923 53.692497 
49.895949 137.770482 22.370130 
53.133655 132.131671 21.454543 
58.699576 125.227630 20.333517 
65.774034 120.722800 19.602056 
73.510829 119.133375 19.343978 
81.264992 120.254592 19.526032 
88.604687 124.048583 20.142072 
95.282757 130.814597 21.240686 
101.190393 141.210068 22.928624 
106.298413 156.282434 25.375961 
106.045706 195.806886 31.793643 
109.820564 230.804183 37.476240 
113.126667 275.417454 44.720206 
116.247134 317.798811 51.601771 
53.563709 142.697774 23.170187 
58.685575 137.005194 22.245869 
65.838239 132.908143 21.580620 
73.835759 132.194868 21.464804 
81.825705 135.120670 21.939874 
89.266405 141.951764 23.049055 
95.851870 153.394182 24.906989 
101.444736 170.716496 27.719655 
97.409406 209.805778 34.066678 
101.903889 248.394765 40.332466 
107.463068 292.556587 47.503129 
55.372815 153.885865 24.986824 
59.897289 152.245430 24.720463 
66.659713 149.327903 24.246737 
74.204189 149.606246 24.291932 
81.440553 154.526307 25.090815 
87.748568 165.026341 26.795731 
92.967162 182.655888 29.658284 
86.318247 215.269590 34.953850 
93.325835 254.070451 41.254041 
61.263818 166.268788 26.997470 
66.044788 164.055914 26.638160 
71.508014 164.666641 26.737326 
76.657463 171.762392 27.889480 
81.320789 187.716837 30.480042 
78.279072 215.425922 34.979234 
64.295276 173.736305 28.209989 
67.412748 176.424597 28.646494 
71.698020 189.431666 30.758483 
56.489803 144.883140 23.525030 
58.817335 157.059899 25.502200 
54.080176 143.187944 23.249777 
58.177009 127.134009 20.643060 
61.073932 140.343747 22.787958 
64.810918 166.683981 27.064886 
49.926337 138.815817 22.539864 
52.202617 131.521655 21.355493 
55.256466 125.197204 20.328576 
62.387320 114.104478 18.527423 
66.636934 127.607420 20.719929 
71.475351 153.743607 24.963726 
77.604578 195.150614 31.687083 
49.318391 136.289505 22.129660 
51.131388 124.579391 20.228261 
54.574531 114.109800 18.528288 
58.416637 110.160829 17.887083 
71.698474 111.221170 18.059254 
77.577443 124.786291 20.261855 
83.672491 147.788856 23.996838 
89.800677 183.360589 29.772708 
96.122194 233.212776 37.867329 
103.428990 285.428851 46.345781 
51.315702 138.617144 22.507605 
52.889903 123.049900 19.979913 
56.546391 110.994202 18.022400 
61.119105 104.972200 17.044593 
66.195839 104.973270 17.044767 
87.683527 118.203659 19.193017 
94.947226 132.154097 21.458184 
101.696807 153.687591 24.954630 
107.388910 185.088068 30.053203 
111.716010 229.027706 37.187789 
114.959540 283.913370 46.099709 
117.975657 328.129879 53.279252 
57.273889 156.300801 25.378944 
57.947318 136.396204 22.146986 
61.727068 120.377040 19.545915 
67.145798 111.177232 18.052119 
73.482177 108.075511 17.548485 
80.410695 110.410428 17.927611 
106.195255 127.823875 20.755076 
112.588533 139.166632 22.596827 
117.735039 155.683064 25.278640 
121.228125 178.673583 29.011667 
122.863476 210.056855 34.107446 
122.791759 251.589979 40.851281 
121.659082 300.029967 48.716600 
120.541049 334.558780 54.323128 
65.729952 178.293653 28.949977 
66.889612 156.378969 25.391636 
71.140144 137.633487 22.347886 
77.160430 125.603923 20.394616 
84.125486 119.454103 19.396055 
91.542137 118.080713 19.173054 
99.029925 120.901889 19.631136 
117.695147 129.985666 21.106091 
121.690530 137.421964 22.313541 
124.351194 148.463806 24.106432 
125.578429 163.945079 26.620164 
125.387310 185.164932 30.065683 
123.942380 213.868944 34.726424 
121.617725 251.354459 40.813039 
119.088183 294.191457 47.768587 
117.300859 324.840572 52.745159 
72.293217 194.999071 31.662476 
74.712929 174.361869 28.311563 
79.612325 154.558506 25.096043 
85.911793 140.185935 22.762333 
92.820566 130.997184 21.270333 
99.810288 125.956605 20.451882 
106.493150 124.311105 20.184698 
112.548680 125.679264 20.406850 
117.892798 122.724450 19.927069 
120.345506 127.652557 20.727258 
121.936591 135.464558 21.995712 
122.676033 146.750937 23.828309 
122.577448 162.380404 26.366104 
121.674674 183.563610 29.805673 
120.066536 211.747970 34.382036 
117.994395 247.659916 40.213147 
115.929297 287.580553 46.695158 
114.515922 316.409868 51.376245 
72.793030 195.393480 31.726518 
76.140047 178.149240 28.926528 
81.284555 159.771159 25.942434 
87.355011 144.986752 23.541854 
93.680917 134.241908 21.797187 
99.811634 126.893357 20.603985 
105.450979 122.331040 19.863190 
110.409448 120.183479 19.514486 
114.575106 120.302407 19.533796 
113.505306 114.368113 18.570230 
116.301255 119.559409 19.413154 
118.318282 127.839810 20.757663 
119.440681 139.764046 22.693830 
119.532890 156.145881 25.353789 
118.505521 178.135099 28.924232 
116.405423 207.075553 33.623364 
113.514712 243.215200 39.491447 
110.414591 280.796037 45.593540 
67.996194 186.085518 30.215161 
71.229895 171.354956 27.823324 
76.485933 153.327704 24.896195 
82.722231 138.241576 22.446623 
89.151006 127.075284 20.633525 
95.288597 119.299714 19.370987 
100.871608 114.353333 18.567831 
105.783486 111.916785 18.172202 
109.994250 111.895277 18.168710 
109.241163 109.392425 17.762316 
111.952456 114.746380 18.631651 
113.262357 123.096920 19.987548 
112.963295 134.909034 21.905510 
110.963036 150.963525 24.512317 
107.381506 172.419900 27.996241 
102.623599 200.289752 32.521537 
97.417245 232.271099 37.714427 
92.728312 254.413227 41.309698 
64.358266 170.878984 27.746039 
68.498229 153.540375 24.930726 
74.619222 136.487545 22.161817 
81.505736 123.647050 20.076874 
88.371371 114.858782 18.649902 
94.776878 109.392733 17.762366 
100.487263 106.767019 17.336022 
105.356551 106.772956 17.336986 
98.862954 101.019341 16.402758 
99.307425 104.274493 16.931305 
97.769118 110.067523 17.871933 
94.359760 118.873448 19.301773 
89.422274 131.580255 21.365008 
83.534791 149.396142 24.257817 
77.497442 172.308437 27.978143 
72.302298 192.741969 31.295985 
61.033375 155.950786 25.322111 
66.260558 138.405349 22.473215 
73.131157 123.237841 20.010430 
80.302360 112.527244 18.271324 
86.915646 105.556033 17.139391 
92.437464 101.563262 16.491075 
96.509069 100.113563 16.255684 
78.876209 84.448690 13.712140 
77.057703 85.207460 13.835344 
73.630269 88.542885 14.376925 
69.090200 95.154708 15.450503 
64.012080 106.170228 17.239120 
59.031885 122.540352 19.897177 
54.916484 141.047585 22.902242 
54.127533 132.603160 21.531100 
59.892551 117.232483 19.035325 
66.409256 104.620689 16.987517 
72.228419 95.653304 15.531461 
76.480890 89.600024 14.548575 
78.733172 85.932720 13.953106 
57.297214 66.019861 10.719806 
55.569925 66.569936 10.809123 
53.004755 70.363525 11.425098 
50.017091 78.341670 12.720529 
46.950368 91.630506 14.878270 
44.285470 109.141730 17.721610 
39.715488 109.889912 17.843094 
43.053439 101.175838 16.428168 
48.107952 89.155902 14.476462 
52.931263 79.539632 12.915045 
56.269798 72.638416 11.794477 
57.679421 68.136819 11.063542 
42.208232 53.779297 8.732276 
42.039054 56.195652 9.124626 
41.268199 62.697546 10.180354 
39.988052 74.326001 12.068495 
38.449291 90.961782 14.769687 
37.401029 103.960664 16.880347 
29.559530 80.913994 13.138203 
32.357336 73.262298 11.895779 
36.276030 64.643445 10.496314 
39.569319 58.359926 9.476044 
41.513329 54.666719 8.876369 
33.741292 48.856951 7.933023 
34.844107 53.611988 8.705110 
35.058324 63.390549 10.292879 
34.412930 78.545322 12.753596 
33.636528 92.601217 15.035886 
