vTEC sTEC IonoDelay err_vTEC err_sTEC 
38.820549 90.742987 14.734161 0.000000 0.000000 
42.910648 85.988914 13.962230 0.000000 -0.000000 
40.394229 101.954762 16.554644 -0.000000 -0.000000 
26.523470 70.384668 11.428531 -0.000000 -0.000000 
37.704032 81.642358 13.256470 -0.000000 0.000000 
46.937485 81.011630 13.154057 -0.000000 0.000000 
46.620349 100.720605 16.354251 0.000000 0.000000 
43.165720 116.161296 18.861394 0.000000 0.000000 
31.774526 82.381940 13.376557 0.000000 -0.000000 
35.737864 72.314876 11.741943 0.000000 0.000000 
42.886988 71.950746 11.682819 -0.000000 -0.000000 
50.305494 76.201300 12.372992 0.000000 0.000000 
50.728834 93.942420 15.253661 0.000000 0.000000 
48.969647 118.008812 19.161380 -0.000000 -0.000000 
29.238787 72.672485 11.800009 0.000000 -0.000000 
33.696277 64.589192 10.487505 -0.000000 0.000000 
40.902885 63.194063 10.260975 -0.000000 -0.000000 
47.070220 66.811501 10.848347 0.000000 -0.000000 
52.825539 71.914564 11.676944 0.000000 -0.000000 
53.645331 87.442913 14.198320 -0.000000 0.000000 
52.797459 110.867118 18.001765 -0.000000 -0.000000 
50.912311 134.528152 21.843665 -0.000000 0.000000 
26.796797 74.665757 12.123662 -0.000000 -0.000000 
27.439795 65.687972 10.665917 -0.000000 -0.000000 
31.792307 58.668785 9.526194 0.000000 0.000000 
38.470227 56.761587 9.216518 -0.000000 -0.000000 
45.130029 58.325378 9.470434 -0.000000 0.000000 
50.060241 62.944274 10.220416 0.000000 0.000000 
54.742767 68.675317 11.150979 -0.000000 0.000000 
56.003205 82.703648 13.428794 0.000000 -0.000000 
55.976131 104.054929 16.895653 0.000000 -0.000000 
54.730261 130.947665 21.262293 0.000000 0.000000 
52.929288 147.297244 23.917014 -0.000000 -0.000000 
24.848482 68.668465 11.149867 0.000000 -0.000000 
25.965020 60.539830 9.830000 -0.000000 -0.000000 
30.024082 54.280562 8.813668 -0.000000 -0.000000 
36.026128 52.064428 8.453829 0.000000 0.000000 
42.463787 52.567434 8.535503 0.000000 0.000000 
48.043796 55.104718 8.947488 -0.000000 -0.000000 
52.144925 60.076605 9.754785 0.000000 0.000000 
57.218691 67.834095 11.014388 0.000000 -0.000000 
59.353044 81.683284 13.263115 -0.000000 -0.000000 
60.479666 102.371414 16.622297 0.000000 -0.000000 
60.161325 129.951963 21.100618 0.000000 -0.000000 
58.193259 154.569864 25.097887 -0.000000 0.000000 
23.432397 64.252175 10.432783 -0.000000 0.000000 
24.770168 57.040946 9.261878 0.000000 0.000000 
