vTEC sTEC IonoDelay err_vTEC err_sTEC 
10.342361 24.175258 3.925396 0.000000 -0.000000 
11.432024 22.908703 3.719742 -0.000000 -0.000000 
10.761613 27.162238 4.410399 -0.000000 0.000000 
7.066240 18.751504 3.044728 -0.000000 -0.000000 
10.044905 21.750717 3.531717 -0.000000 0.000000 
12.504832 21.582682 3.504433 -0.000000 -0.000000 
12.420342 26.833441 4.357011 0.000000 -0.000000 
11.499979 30.947066 5.024951 -0.000000 0.000000 
8.465198 21.947752 3.563710 -0.000000 0.000000 
9.521089 19.265740 3.128225 0.000000 -0.000000 
11.425720 19.168730 3.112474 0.000000 -0.000000 
13.402119 20.301140 3.296346 -0.000000 -0.000000 
13.514903 25.027633 4.063798 -0.000000 0.000000 
13.046229 31.439272 5.104871 0.000000 -0.000000 
7.789640 19.361012 3.143695 0.000000 -0.000000 
8.977180 17.207505 2.794025 0.000000 -0.000000 
10.897126 16.835822 2.733674 0.000000 -0.000000 
12.540194 17.799560 2.890158 0.000000 -0.000000 
14.073495 19.159091 3.110908 0.000000 -0.000000 
14.291900 23.296070 3.782640 -0.000000 -0.000000 
14.066014 29.536620 4.795933 0.000000 0.000000 
13.563784 35.840265 5.819472 -0.000000 0.000000 
7.139058 19.892049 3.229921 0.000000 -0.000000 
7.310362 17.500235 2.841556 0.000000 0.000000 
8.469935 15.630222 2.537917 0.000000 -0.000000 
10.249030 15.122116 2.455415 0.000000 0.000000 
12.023299 15.538733 2.523062 0.000000 -0.000000 
13.336780 16.769274 2.722868 -0.000000 0.000000 
14.584273 18.296108 2.970784 -0.000000 -0.000000 
14.920072 22.033460 3.577627 0.000000 0.000000 
14.912859 27.721753 4.501249 0.000000 0.000000 
14.580941 34.886371 5.664585 0.000000 0.000000 
14.101136 39.242138 6.371842 -0.000000 -0.000000 
6.619999 18.294282 2.970487 -0.000000 0.000000 
6.917461 16.128695 2.618856 -0.000000 0.000000 
7.998854 14.461135 2.348090 0.000000 -0.000000 
9.597887 13.870724 2.252223 -0.000000 0.000000 
11.312973 14.004733 2.273983 0.000000 -0.000000 
12.799569 14.680702 2.383742 0.000000 -0.000000 
13.892170 16.005285 2.598817 -0.000000 0.000000 
15.243895 18.071994 2.934394 0.000000 -0.000000 
15.812518 21.761620 3.533488 0.000000 0.000000 
16.112667 27.273240 4.428423 -0.000000 0.000000 
16.027856 34.621102 5.621513 0.000000 -0.000000 
15.503534 41.179670 6.686444 0.000000 0.000000 
6.242733 17.117718 2.779446 -0.000000 0.000000 
6.599135 15.196541 2.467500 -0.000000 0.000000 
7.590182 13.687704 2.222506 -0.000000 0.000000 
9.016073 13.045744 2.118269 0.000000 -0.000000 
10.610093 13.012151 2.112815 -0.000000 0.000000 
12.129462 13.410707 2.177529 0.000000 -0.000000 
13.424562 14.255336 2.314674 0.000000 0.000000 
14.454326 15.711184 2.551063 0.000000 0.000000 
16.804449 19.303966 3.134432 -0.000000 0.000000 
17.762621 23.280706 3.780145 0.000000 -0.000000 
18.498960 28.964222 4.702992 -0.000000 -0.000000 
18.820551 36.543345 5.933632 -0.000000 -0.000000 
18.491059 44.688299 7.256149 -0.000000 0.000000 
17.438491 48.329369 7.847358 -0.000000 0.000000 
6.089063 16.010932 2.599734 -0.000000 -0.000000 
6.640431 14.403602 2.338748 -0.000000 0.000000 
7.645616 13.255699 2.152360 0.000000 -0.000000 
8.959864 12.742346 2.069006 -0.000000 -0.000000 
10.423135 12.697530 2.061729 0.000000 -0.000000 
11.895463 13.012219 2.112826 -0.000000 0.000000 
13.285562 13.689178 2.222745 -0.000000 -0.000000 
14.560195 14.826858 2.407473 -0.000000 -0.000000 
15.728351 16.608187 2.696712 -0.000000 -0.000000 
20.204711 23.057292 3.743869 -0.000000 -0.000000 
21.666613 28.082519 4.559827 0.000000 0.000000 
22.832974 35.044204 5.690213 -0.000000 0.000000 
23.463928 44.197149 7.176399 0.000000 -0.000000 
23.258277 54.342600 8.823741 0.000000 0.000000 
21.943348 59.917754 9.728992 0.000000 -0.000000 
6.114701 16.731861 2.716793 -0.000000 0.000000 
