vTEC sTEC IonoDelay err_vTEC err_sTEC 
23.722725 55.451841 9.003851 -0.000000 0.000000 
26.222130 52.546690 8.532135 0.000000 -0.000000 
24.684380 62.303208 10.116324 -0.000000 0.000000 
16.208142 43.011141 6.983824 0.000000 -0.000000 
23.040436 49.890567 8.100853 -0.000000 -0.000000 
28.682877 49.505137 8.038270 0.000000 0.000000 
28.489080 61.549032 9.993867 -0.000000 -0.000000 
26.378001 70.984634 11.525949 0.000000 -0.000000 
19.416993 50.342515 8.174237 0.000000 0.000000 
21.838937 44.190666 7.175347 -0.000000 -0.000000 
26.207672 43.968151 7.139216 -0.000000 -0.000000 
30.741023 46.565608 7.560972 0.000000 0.000000 
30.999721 57.406972 9.321311 -0.000000 0.000000 
29.924704 72.113626 11.709266 0.000000 0.000000 
17.867437 44.409196 7.210830 -0.000000 -0.000000 
20.591350 39.469602 6.408776 -0.000000 0.000000 
24.995213 38.617057 6.270346 -0.000000 0.000000 
28.763990 40.827626 6.629282 0.000000 -0.000000 
32.280989 43.946040 7.135626 0.000000 0.000000 
32.781953 53.435210 8.676406 0.000000 -0.000000 
32.263830 67.749432 11.000641 -0.000000 -0.000000 
31.111841 82.208377 13.348375 -0.000000 0.000000 
16.375168 45.627258 7.408610 0.000000 -0.000000 
16.768096 40.141052 6.517801 0.000000 0.000000 
19.427859 35.851720 5.821331 0.000000 -0.000000 
23.508647 34.686256 5.632092 0.000000 0.000000 
27.578365 35.641868 5.787257 -0.000000 0.000000 
30.591152 38.464415 6.245561 0.000000 -0.000000 
33.452582 41.966579 6.814216 -0.000000 0.000000 
34.222819 50.539107 8.206158 0.000000 -0.000000 
34.206275 63.586593 10.324711 -0.000000 -0.000000 
33.444940 80.020389 12.993106 -0.000000 0.000000 
32.344389 90.011401 14.615371 -0.000000 -0.000000 
15.184579 41.962392 6.813536 0.000000 -0.000000 
15.866881 36.995091 6.006983 -0.000000 -0.000000 
18.347320 33.170134 5.385916 -0.000000 0.000000 
22.015091 31.815884 5.166023 0.000000 0.000000 
25.949060 32.123265 5.215933 -0.000000 -0.000000 
29.358929 33.673765 5.467692 0.000000 0.000000 
31.865075 36.712020 5.961021 0.000000 0.000000 
34.965586 41.452520 6.730747 0.000000 -0.000000 
36.269861 49.915576 8.104914 0.000000 -0.000000 
36.958325 62.557819 10.157666 0.000000 -0.000000 
36.763791 79.411928 12.894309 0.000000 0.000000 
35.561132 94.455603 15.336987 -0.000000 -0.000000 
14.319228 39.263656 6.375336 0.000000 -0.000000 
15.136723 34.856969 5.659811 -0.000000 -0.000000 
17.409931 31.396083 5.097859 -0.000000 0.000000 
20.680559 29.923591 4.858767 0.000000 -0.000000 
24.336832 29.846538 4.846255 -0.000000 -0.000000 
27.821875 30.760722 4.994694 0.000000 0.000000 
30.792503 32.698086 5.309268 0.000000 -0.000000 
33.154518 36.037427 5.851485 -0.000000 -0.000000 
38.545096 44.278348 7.189584 -0.000000 -0.000000 
40.742898 53.399968 8.670684 -0.000000 0.000000 
42.431869 66.436497 10.787457 0.000000 0.000000 
43.169517 83.821062 13.610231 0.000000 -0.000000 
42.413747 102.503498 16.643744 0.000000 0.000000 
39.999426 110.855178 17.999827 -0.000000 0.000000 
13.966748 36.724972 5.963124 -0.000000 -0.000000 
15.231445 33.038170 5.364488 -0.000000 -0.000000 
17.537083 30.405173 4.936962 -0.000000 -0.000000 
20.551629 29.227673 4.745769 0.000000 0.000000 
23.907999 29.124876 4.729077 0.000000 0.000000 
27.285141 29.846694 4.846281 0.000000 -0.000000 
30.473671 31.399463 5.098408 -0.000000 0.000000 
33.397353 34.009009 5.522126 -0.000000 0.000000 
36.076803 38.094921 6.185566 0.000000 0.000000 
46.344425 52.887515 8.587475 0.000000 -0.000000 
49.697654 64.414097 10.459075 0.000000 0.000000 
52.372986 80.382418 13.051890 -0.000000 -0.000000 
53.820234 101.376925 16.460819 0.000000 0.000000 
53.348523 124.647988 20.239399 0.000000 0.000000 
50.332414 137.435960 22.315813 -0.000000 0.000000 
14.025556 38.378599 6.231627 -0.000000 -0.000000 
15.209981 35.706616 5.797771 -0.000000 -0.000000 
17.393614 32.930880 5.347068 0.000000 -0.000000 
20.341470 31.359471 5.091914 -0.000000 0.000000 
23.794745 30.949098 5.025281 -0.000000 -0.000000 
27.515144 31.478611 5.111259 0.000000 0.000000 
31.327702 32.896555 5.341494 -0.000000 0.000000 
35.141004 35.344367 5.738951 -0.000000 0.000000 
38.931014 39.136702 6.354722 0.000000 -0.000000 
42.688532 44.759010 7.267630 -0.000000 0.000000 
57.982660 67.389153 10.942142 0.000000 -0.000000 
61.683211 80.693021 13.102323 0.000000 0.000000 
64.536786 98.463273 15.987723 -0.000000 0.000000 
66.182867 121.530120 19.733143 0.000000 -0.000000 
66.206233 148.499264 24.112189 -0.000000 0.000000 
64.052189 169.671441 27.549967 -0.000000 -0.000000 
15.541864 42.807429 6.950747 -0.000000 -0.000000 
17.207408 41.604173 6.755371 0.000000 -0.000000 
19.729443 39.258160 6.374444 0.000000 0.000000 
22.970237 37.627841 6.109725 0.000000 0.000000 
26.765001 37.088533 6.022156 0.000000 0.000000 
30.947929 37.555198 6.097929 -0.000000 -0.000000 
35.378891 38.973410 6.328208 -0.000000 -0.000000 
39.953867 41.416366 6.724877 0.000000 0.000000 
44.596076 45.085589 7.320657 0.000000 0.000000 
49.230439 50.305733 8.168265 0.000000 0.000000 
53.749425 57.534032 9.341942 -0.000000 0.000000 
68.321262 82.910608 13.462398 -0.000000 0.000000 
71.246862 96.519981 15.672186 -0.000000 0.000000 
73.367099 114.357152 18.568451 0.000000 -0.000000 
74.595923 137.416271 22.312616 0.000000 -0.000000 
74.871298 165.320352 26.843470 0.000000 0.000000 
74.045467 191.860090 31.152792 -0.000000 0.000000 
18.729663 52.041348 8.450081 -0.000000 0.000000 
20.884006 52.486844 8.522417 0.000000 0.000000 
23.801499 50.500882 8.199952 -0.000000 -0.000000 
27.431411 48.611659 7.893194 0.000000 -0.000000 
31.642919 47.699503 7.745085 0.000000 0.000000 
36.273697 47.836063 7.767259 0.000000 -0.000000 
41.163355 48.957110 7.949286 -0.000000 -0.000000 
46.165648 51.060141 8.290760 -0.000000 -0.000000 
51.148210 54.236253 8.806473 -0.000000 0.000000 
55.985684 58.668977 9.526225 -0.000000 -0.000000 
60.551066 64.637520 10.495352 0.000000 -0.000000 
64.709918 72.535572 11.777778 -0.000000 0.000000 
71.982740 93.524603 15.185819 -0.000000 -0.000000 
73.891543 106.339321 17.266576 0.000000 -0.000000 
75.264375 123.067302 19.982739 0.000000 0.000000 
76.148670 144.618967 23.482136 -0.000000 0.000000 
76.631618 170.896311 27.748852 -0.000000 0.000000 
76.821120 197.818942 32.120346 -0.000000 0.000000 
76.646644 213.632305 34.688000 -0.000000 0.000000 
25.138249 65.914862 10.702758 0.000000 0.000000 
27.980757 63.964930 10.386142 -0.000000 0.000000 
31.560814 61.457020 9.978927 0.000000 0.000000 
35.742829 59.759277 9.703260 -0.000000 -0.000000 
40.329393 59.119535 9.599384 0.000000 -0.000000 
45.118989 59.469043 9.656134 -0.000000 -0.000000 
49.926520 60.735454 9.861764 0.000000 0.000000 
54.590524 62.918255 10.216191 0.000000 -0.000000 
58.975928 66.097866 10.732472 0.000000 0.000000 
62.975030 70.436178 11.436895 -0.000000 -0.000000 
66.507510 76.185276 12.370390 0.000000 0.000000 
69.519638 83.709840 13.592172 0.000000 0.000000 
70.143893 100.054825 16.246147 -0.000000 -0.000000 
71.918343 114.472899 18.587245 -0.000000 -0.000000 
73.274105 133.674175 21.705003 -0.000000 0.000000 
74.260572 158.243211 25.694338 0.000000 0.000000 
74.999375 186.113268 30.219667 0.000000 0.000000 
75.726032 208.476858 33.850898 0.000000 0.000000 
29.190536 76.778749 12.466753 -0.000000 0.000000 
32.002236 73.425400 11.922262 0.000000 -0.000000 
35.759332 70.055287 11.375048 0.000000 0.000000 
40.161484 67.934110 11.030628 0.000000 -0.000000 
44.876213 67.147493 10.902903 0.000000 0.000000 
49.614106 67.551186 10.968451 -0.000000 -0.000000 
54.147330 69.071434 11.215298 -0.000000 -0.000000 
58.314474 71.760659 11.651954 -0.000000 -0.000000 
62.018963 75.801016 12.307996 0.000000 -0.000000 
65.220716 81.511233 13.235178 -0.000000 -0.000000 
67.921100 89.369986 14.511223 0.000000 0.000000 
67.587914 108.482379 17.614549 -0.000000 0.000000 
69.724663 126.383369 20.521177 -0.000000 0.000000 
71.379724 150.126012 24.376328 -0.000000 -0.000000 
72.618502 178.280408 28.947826 0.000000 -0.000000 
73.600011 202.071078 32.810776 0.000000 0.000000 
30.490755 84.189722 13.670091 0.000000 0.000000 
32.469275 80.743919 13.110588 -0.000000 -0.000000 
35.870536 76.524951 12.425544 -0.000000 -0.000000 
40.193644 73.772109 11.978558 -0.000000 -0.000000 
44.921497 72.800832 11.820849 -0.000000 0.000000 
49.659963 73.485993 11.932101 0.000000 -0.000000 
54.145154 75.804451 12.308554 -0.000000 -0.000000 
